,item,name,label
0,http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,cultural exclusive
1,http://www.wikidata.org/entity/Q125482,imam,cultural agnostic
2,http://www.wikidata.org/entity/Q15789,FC Bayern Munich,cultural representative
3,http://www.wikidata.org/entity/Q582496,Fome Zero,cultural exclusive
4,http://www.wikidata.org/entity/Q572811,Anthony Award,cultural exclusive
5,http://www.wikidata.org/entity/Q1866547,Livraria Bertrand,cultural exclusive
6,http://www.wikidata.org/entity/Q19081,prokaryotes,cultural agnostic
7,http://www.wikidata.org/entity/Q474090,narrative poetry,cultural agnostic
8,http://www.wikidata.org/entity/Q1266300,Neue Slowenische Kunst,cultural representative
9,http://www.wikidata.org/entity/Q193654,short-track speed skating,cultural agnostic
10,http://www.wikidata.org/entity/Q372,We Live in Public,cultural representative
11,http://www.wikidata.org/entity/Q820887,University of Florence,cultural exclusive
12,http://www.wikidata.org/entity/Q503269,seamount,cultural agnostic
13,http://www.wikidata.org/entity/Q57318,free imperial city,cultural exclusive
14,http://www.wikidata.org/entity/Q25239,Alnus,cultural agnostic
15,http://www.wikidata.org/entity/Q47195,trick-or-treating,cultural agnostic
16,http://www.wikidata.org/entity/Q83368,empiricism,cultural agnostic
17,http://www.wikidata.org/entity/Q42601,David Ginola,cultural representative
18,http://www.wikidata.org/entity/Q654057,Tuscan order,cultural representative
19,http://www.wikidata.org/entity/Q446523,epyllion,cultural representative
20,http://www.wikidata.org/entity/Q1695743,post in ground,cultural agnostic
21,http://www.wikidata.org/entity/Q5188176,cross-gender acting,cultural agnostic
22,http://www.wikidata.org/entity/Q154168,toast,cultural representative
23,http://www.wikidata.org/entity/Q13473,beIN SPORTS,cultural exclusive
24,http://www.wikidata.org/entity/Q2088191,philosopher king,cultural agnostic
25,http://www.wikidata.org/entity/Q15003,escalator,cultural agnostic
26,http://www.wikidata.org/entity/Q510548,Tour Méditerranéen,cultural exclusive
27,http://www.wikidata.org/entity/Q672556,Boxer Protocol,cultural representative
28,http://www.wikidata.org/entity/Q738377,student newspaper,cultural agnostic
29,http://www.wikidata.org/entity/Q170980,obelisk,cultural agnostic
30,http://www.wikidata.org/entity/Q242791,Kyokushin kaikan,cultural exclusive
31,http://www.wikidata.org/entity/Q159488,anti-tobacco movement in Nazi Germany,cultural exclusive
32,http://www.wikidata.org/entity/Q5409,Peire Rogier,cultural representative
33,http://www.wikidata.org/entity/Q748822,private press,cultural agnostic
34,http://www.wikidata.org/entity/Q578798,Council of Government of the Region of Murcia,cultural exclusive
35,http://www.wikidata.org/entity/Q1145,Jean-Philippe Rameau,cultural representative
36,http://www.wikidata.org/entity/Q169990,Eleventh Amendment to the United States Constitution,cultural exclusive
37,http://www.wikidata.org/entity/Q6406716,Castillo Douglas,cultural exclusive
38,http://www.wikidata.org/entity/Q1323191,costume designer,cultural agnostic
39,http://www.wikidata.org/entity/Q66844,Lamboing,cultural exclusive
40,http://www.wikidata.org/entity/Q365065,bitter lemon,cultural agnostic
41,http://www.wikidata.org/entity/Q546206,Miami bass,cultural representative
42,http://www.wikidata.org/entity/Q82288,Psychrolutes marcidus,cultural representative
43,http://www.wikidata.org/entity/Q488205,singer-songwriter,cultural agnostic
44,http://www.wikidata.org/entity/Q487734,Croatian folk costume,cultural representative
45,http://www.wikidata.org/entity/Q253241,Su Nuraxi di Barumini,cultural exclusive
46,http://www.wikidata.org/entity/Q217392,Open Season 2,cultural representative
47,http://www.wikidata.org/entity/Q1776053,city comedy,cultural representative
48,http://www.wikidata.org/entity/Q3154160,Julia Vysotskaya,cultural representative
49,http://www.wikidata.org/entity/Q53044,Elio Petri,cultural representative
50,http://www.wikidata.org/entity/Q852061,champion,cultural agnostic
51,http://www.wikidata.org/entity/Q201565,nori,cultural representative
52,http://www.wikidata.org/entity/Q264972,740 Park Avenue,cultural exclusive
53,http://www.wikidata.org/entity/Q5219853,Danish philosophy,cultural agnostic
54,http://www.wikidata.org/entity/Q242095,Dino Buzzati,cultural representative
55,http://www.wikidata.org/entity/Q438464,alternative comics,cultural agnostic
56,http://www.wikidata.org/entity/Q55439,panel painting,cultural agnostic
57,http://www.wikidata.org/entity/Q1650915,researcher,cultural agnostic
58,http://www.wikidata.org/entity/Q2250579,Shu'ubiyya,cultural agnostic
59,http://www.wikidata.org/entity/Q177220,singer,cultural agnostic
60,http://www.wikidata.org/entity/Q47520669,diplomatician,cultural agnostic
61,http://www.wikidata.org/entity/Q182950,Studio Ghibli,cultural representative
62,http://www.wikidata.org/entity/Q1154859,rock festival,cultural agnostic
63,http://www.wikidata.org/entity/Q31454881,Baldegg Kloster railway station,cultural exclusive
64,http://www.wikidata.org/entity/Q62855,Alexander Braun,cultural representative
65,http://www.wikidata.org/entity/Q254907,genrō,cultural exclusive
66,http://www.wikidata.org/entity/Q591942,distributary,cultural agnostic
67,http://www.wikidata.org/entity/Q942219,kanga,cultural agnostic
68,http://www.wikidata.org/entity/Q178671,Theosophy,cultural agnostic
69,http://www.wikidata.org/entity/Q890057,body modification,cultural agnostic
70,http://www.wikidata.org/entity/Q6839890,Microphotography,cultural agnostic
71,http://www.wikidata.org/entity/Q5180408,Crackle,cultural exclusive
72,http://www.wikidata.org/entity/Q10798,Sus,cultural agnostic
73,http://www.wikidata.org/entity/Q354239,minor party,cultural agnostic
74,http://www.wikidata.org/entity/Q61391,cheerleading,cultural agnostic
75,http://www.wikidata.org/entity/Q32491,Qantas,cultural representative
76,http://www.wikidata.org/entity/Q704948,body double,cultural agnostic
77,http://www.wikidata.org/entity/Q6379416,Kawabata Evaluation System,cultural exclusive
78,http://www.wikidata.org/entity/Q1451709,women's cinema,cultural representative
79,http://www.wikidata.org/entity/Q266569,animator,cultural agnostic
80,http://www.wikidata.org/entity/Q170593,collaging,cultural agnostic
81,http://www.wikidata.org/entity/Q828043,bouillabaisse,cultural representative
82,http://www.wikidata.org/entity/Q276452,Goliath Artists,cultural exclusive
83,http://www.wikidata.org/entity/Q374852,Glück auf,cultural exclusive
84,http://www.wikidata.org/entity/Q23529,message in a bottle,cultural agnostic
85,http://www.wikidata.org/entity/Q39336,Rome Film Festival,cultural exclusive
86,http://www.wikidata.org/entity/Q59187,Vauxhall,cultural exclusive
87,http://www.wikidata.org/entity/Q49000490,council architect,cultural agnostic
88,http://www.wikidata.org/entity/Q5139107,coca flour,cultural representative
89,http://www.wikidata.org/entity/Q564278,Meunière sauce,cultural representative
90,http://www.wikidata.org/entity/Q438533,alternative manga,cultural agnostic
91,http://www.wikidata.org/entity/Q308876,stop-motion,cultural agnostic
92,http://www.wikidata.org/entity/Q1320698,Strawberry Field,cultural exclusive
93,http://www.wikidata.org/entity/Q18545,ball,cultural agnostic
94,http://www.wikidata.org/entity/Q9381,Adam Smith,cultural representative
95,http://www.wikidata.org/entity/Q338367,Accademia Carrara,cultural exclusive
96,http://www.wikidata.org/entity/Q25104247,mic drop,cultural agnostic
